indicador,fuente,nombre,unidad,anio,region,region_nombre,est,li,ls,cobertura
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,0,Nacional,6.5,6.22,6.78,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,1,Tarapacá,11.01,8.52,13.5,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,2,Antofagasta,7.63,6.33,8.93,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,3,Atacama,8.2,6.72,9.67,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,4,Coquimbo,7.92,6.67,9.16,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,5,Valparaíso,6.58,5.72,7.43,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,6,O'Higgins,7.02,6.12,7.93,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,7,Maule,8.64,7.64,9.65,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,8,Biobío,7.52,6.73,8.31,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,9,La Araucanía,11.57,10.31,12.82,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,10,Los Lagos,6.98,5.84,8.12,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,11,Aysén,4.01,2.38,5.64,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,12,Magallanes,3.45,1.77,5.13,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,13,Metropolitana,4.42,3.93,4.91,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,14,Los Ríos,5.86,4.92,6.8,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,15,Arica y Parinacota,9.17,7.34,11,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2022,16,Ñuble,12.09,10.57,13.61,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,0,Nacional,4.89,4.68,5.11,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,1,Tarapacá,7.51,5.93,9.1,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,2,Antofagasta,5,3.99,6,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,3,Atacama,5.58,4.41,6.74,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,4,Coquimbo,6.7,5.56,7.84,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,5,Valparaíso,4.72,4.1,5.35,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,6,O'Higgins,5.08,4.29,5.88,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,7,Maule,7.71,6.78,8.63,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,8,Biobío,5.46,4.82,6.09,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,9,La Araucanía,10.09,8.94,11.24,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,10,Los Lagos,4.24,3.4,5.07,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,11,Aysén,2.99,1.95,4.02,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,12,Magallanes,2.49,1.6,3.38,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,13,Metropolitana,3.26,2.89,3.63,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,14,Los Ríos,5.55,4.52,6.57,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,15,Arica y Parinacota,7.7,5.9,9.5,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2024,16,Ñuble,7.97,6.82,9.13,regional
casen_pobreza_extrema_comp,CASEN (MDSF),Pobreza extrema — serie comparable (%),%,2013,0,Nacional,4.51,4.22,4.81,nacional
casen_pobreza_extrema_comp,CASEN (MDSF),Pobreza extrema — serie comparable (%),%,2015,0,Nacional,3.54,3.32,3.76,nacional
casen_pobreza_extrema_comp,CASEN (MDSF),Pobreza extrema — serie comparable (%),%,2017,0,Nacional,2.32,2.15,2.5,nacional
casen_pobreza_extrema_comp,CASEN (MDSF),Pobreza extrema — serie comparable (%),%,2022,0,Nacional,2,1.85,2.15,nacional
casen_pobreza_extrema_comp,CASEN (MDSF),Pobreza extrema — serie comparable (%),%,2024,0,Nacional,1.48,1.37,1.6,nacional
casen_pobreza_extrema_n24,CASEN (MDSF),Pobreza extrema — metodología 2024 (%),%,2022,0,Nacional,8.48,8.18,8.77,nacional
casen_pobreza_extrema_n24,CASEN (MDSF),Pobreza extrema — metodología 2024 (%),%,2024,0,Nacional,6.87,6.62,7.11,nacional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,0,Nacional,20.49,20.03,20.96,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,1,Tarapacá,26.79,23.99,29.58,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,2,Antofagasta,19.54,17.53,21.55,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,3,Atacama,21.19,19.23,23.15,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,4,Coquimbo,24.26,22.25,26.27,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,5,Valparaíso,20.94,19.69,22.2,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,6,O'Higgins,21.06,19.6,22.52,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,7,Maule,26.13,24.51,27.74,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,8,Biobío,22.02,20.74,23.3,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,9,La Araucanía,31.97,30.23,33.71,regional
