anio,indicador,etiqueta,nivel,est,se,li,ls,n
2020,rdv,Robo de vehículo (hogares con vehículo),hogar,0.92622996316109,0.124291086869842,0.68262390929686,1.16983601702532,12486
2020,rddv,Robo desde vehículo (hogares con vehículo),hogar,10.4558391662974,0.446481583541723,9.58075134279522,11.3309269897996,12486
2020,pad,Percepción: aumentó la delincuencia en el país,persona,84.313486331116,0.394464451083183,83.5403502138116,85.0866224484204,23656
2020,rvi,Robo con violencia o intimidación,persona,4.59567119258908,0.259183496109465,4.08768087482735,5.10366151035081,23656
2020,rps,Robo por sorpresa,persona,3.64906578571036,0.252064518986402,3.15502840671661,4.14310316470413,23656
2020,hur,Hurto,persona,4.69893418186072,0.22854138489817,4.2510012984834,5.14686706523804,23656
2020,les,Lesiones,persona,1.14612419818051,0.0972212704395139,0.955574009587834,1.33667438677319,23656
2021,vh_dmcs,Hogar víctima de delito (DMCS),hogar,16.9187090764702,0.433043942841321,16.069958544778,17.7674596081624,22180
2021,rfv,Robo con fuerza en la vivienda,hogar,2.51125625790945,0.158495463764894,2.20061085721729,2.82190165860162,22180
2021,rdv,Robo de vehículo (hogares con vehículo),hogar,0.747627932098307,0.11345954165145,0.525251316759043,0.970004547437571,11775
2021,rddv,Robo desde vehículo (hogares con vehículo),hogar,10.0260962665331,0.48420232992081,9.07707713865793,10.9751153944083,11775
2021,pad,Percepción: aumentó la delincuencia en el país,persona,86.8991157002706,0.401842114602922,86.1115196281775,87.6867117723638,22180
2021,rvi,Robo con violencia o intimidación,persona,3.88582405637664,0.24145687031329,3.41257728674283,4.35907082601045,22180
2021,rps,Robo por sorpresa,persona,2.92290912744804,0.212115768019372,2.50716986157702,3.33864839331906,22180
2021,hur,Hurto,persona,4.53047366315243,0.289547957364322,3.96297009492122,5.09797723138364,22180
2021,les,Lesiones,persona,0.882215635556566,0.10005792771286,0.686105700871649,1.07832557024148,22180
2022,vh_dmcs,Hogar víctima de delito (DMCS),hogar,21.75748240213,0.497166566741105,20.783053837,22.73191096726,23360
2022,rfv,Robo con fuerza en la vivienda,hogar,3.17631127002025,0.191069708269289,2.80182152327587,3.55080101676463,23360
2022,rdv,Robo de vehículo (hogares con vehículo),hogar,1.68501704263954,0.300165209027829,1.09670404353305,2.27333004174602,12281
2022,rddv,Robo desde vehículo (hogares con vehículo),hogar,13.029168686488,0.502612277193633,12.0440667250009,14.0142706479752,12281
2022,pad,Percepción: aumentó la delincuencia en el país,persona,90.5714095297434,0.389575993226811,89.8078546137774,91.3349644457094,23360
2022,rvi,Robo con violencia o intimidación,persona,5.32608025091775,0.265088876166094,4.80651560093001,5.84564490090549,23360
2022,rps,Robo por sorpresa,persona,4.18041195150567,0.246235402944517,3.69779943001571,4.66302447299563,23360
2022,hur,Hurto,persona,5.6201893273356,0.244560830905771,5.1408589067311,6.0995197479401,23360
2022,les,Lesiones,persona,1.02754116911285,0.1392649299857,0.754586922031384,1.30049541619431,23360
2023,vh_dmcs,Hogar víctima de delito (DMCS),hogar,21.7382515195981,0.253243064702584,21.2419042334465,22.2345988057497,42460
2023,rfv,Robo con fuerza en la vivienda,hogar,2.96384250060611,0.101526691481901,2.76485384183208,3.16283115938015,42460
2023,rdv,Robo de vehículo (hogares con vehículo),hogar,2.16433750528993,0.121617735535102,1.92597112375982,2.40270388682005,23302
2023,rddv,Robo desde vehículo (hogares con vehículo),hogar,14.5185208805423,0.28122885861225,13.967322446249,15.0697193148356,23302
2023,pad,Percepción: aumentó la delincuencia en el país,persona,87.5740253763582,0.214728144966892,87.153165945756,87.9948848069604,42460
2023,rvi,Robo con violencia o intimidación,persona,4.11291324538488,0.139598701136979,3.83930481886783,4.38652167190193,42460
2023,rps,Robo por sorpresa,persona,3.80085687790306,0.13263805842492,3.5408910604109,4.06082269539522,42460
2023,hur,Hurto,persona,5.98683131593127,0.156576055990369,5.67994788534882,6.29371474651372,42460
2023,les,Lesiones,persona,1.4039683912421,0.0763571964208879,1.25431103629671,1.55362574618749,42460
2024,vh_dmcs,Hogar víctima de delito (DMCS),hogar,23.4679254675049,0.387706443888071,22.7080348009101,24.2278161340996,22273
2024,rfv,Robo con fuerza en la vivienda,hogar,2.96341611605286,0.151025903700451,2.66741078406736,3.25942144803836,22273
2024,rdv,Robo de vehículo (hogares con vehículo),hogar,1.96519073331902,0.166049916278871,1.63973887777654,2.29064258886149,12695
2024,rddv,Robo desde vehículo (hogares con vehículo),hogar,16.0111800906954,0.462005761422211,15.1056654376578,16.9166947437329,12695
2024,pad,Percepción: aumentó la delincuencia en el país,persona,87.5446870057164,0.314584453964949,86.9281128058489,88.1612612055839,22273
2024,rvi,Robo con violencia o intimidación,persona,4.09146479881641,0.214574608888535,3.67090629339811,4.51202330423471,22273
2024,rps,Robo por sorpresa,persona,4.34493029493764,0.205372704266135,3.94240719116842,4.74745339870686,22273
2024,hur,Hurto,persona,7.32726053088502,0.259120875453424,6.81939294735382,7.83512811441622,22273
2024,les,Lesiones,persona,1.50664861987444,0.128809116727382,1.25418739020836,1.75910984954053,22273
